"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"17/03/2022","western União","Jade"," -"," -","1204,56","CCorrente Santander","Pago"
"17/03/2022","Pedro","Jade"," -"," -","1130","CCorrente Santander","Pago"
"18/03/2022","CVC Corp ","Salário"," -","1421,89"," -","CCorrente Santander","Pago"
"18/03/2022","Marly Sanglard","Dívidas","15/15"," -","500","CCorrente Santander","Pago"
"21/03/2022","I-Food","Alimentação"," -"," -","144,49","CCorrente Santander","Pago"
"21/03/2022","Gugu","Outros"," -"," -","150","CCorrente Santander","Pago"
"21/03/2022","Banco Original","Dívidas","03/24"," -","584,86","CCorrente Santander","Pago"
"21/03/2022","Santander","Seguro","11/12"," -","108,26","CCorrente Santander","Pago"
"21/03/2022","Santander","juros"," -"," -","23,97","CCorrente Santander","Pago"
"22/03/2022","IPTU","Air BNB","Mensal"," -","103,2","CCorrente Santander","Pago"
"23/03/2022","Aparecida","Faxina"," -"," -","120","CCorrente Santander","Pago"
"28/03/2022","Thiago Mota","Sítio Boa vista","1/2","700"," -","CCorrente Santander","Pago"
"29/03/2022","Nildete ","Clé Concept"," -"," -","45","CCorrente Santander","Pago"
"31/03/2022","Aparecida","Faxina"," -"," -","120","CCorrente Santander","Pago"
"31/03/2022","DARF Tearte 2020",""," -"," -","473,98","CCorrente Santander","Pago"
"04/04/2022","Tok Stok","Reforma","10/10"," -","65","CCredito Nubank","Pago"
"04/04/2022","Amazon","Eletrodomésticos","10/10"," -","33,03","CCredito Nubank","Pago"
"04/04/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/04/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/04/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/04/2022","Celular Ruy","Presente","4/6"," -","111,5","CCredito Nubank","Pago"
"04/04/2022","Loja ","vestuário","3/3"," -","63,78","CCredito Nubank","Pago"
"04/04/2022","Farmácia","Saúde","2/2"," -","43,42","CCredito Nubank","Pago"
"04/04/2022","Insider","Presente","1/2"," -","140","CCredito Nubank","Pago"
"04/04/2022","Carone","Alimentação"," -"," -","7,5","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos"," -"," -","70","CCredito Nubank","Pago"
"04/04/2022","Madeleine","Alimentação"," -"," -","11","CCredito Nubank","Pago"
"04/04/2022","99 taxi","Transporte"," -"," -","100","CCredito Nubank","Pago"
"04/04/2022","Supermercado","Alimentação"," -"," -","32","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos"," -"," -","13,6","CCredito Nubank","Pago"
"04/04/2022","Café Bamboo","Alimentação"," -"," -","28,49","CCredito Nubank","Pago"
"04/04/2022","Anuncios","Sítio Boa Vista"," -"," -","30","CCredito Nubank","Pago"
"04/04/2022","Onibus Aracruz","Transporte"," -"," -","53,28","CCredito Nubank","Pago"
"04/04/2022","Restaurante Aracruz","Alimentação"," -"," -","25,5","CCredito Nubank","Pago"
"04/04/2022","Oyo mãe","presente"," -"," -","134,13","CCredito Nubank","Pago"
"04/04/2022","Anuncios","Sítio Boa Vista"," -"," -","14,76","CCredito Nubank","Pago"
"04/04/2022","Oyo Ruy","Presente"," -"," -","114,13","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos","1/3"," -","84,29","CCredito Nubank","Pago"
"04/04/2022","Banca ","Outros"," -"," -","24","CCredito Nubank","Pago"
"04/04/2022","Supermercado","Alimentação"," -"," -","12","CCredito Nubank","Pago"
"04/04/2022","Kabecos","Alimentação"," -"," -","17","CCredito Nubank","Pago"
"04/04/2022","99 Taxi","Clé Concept"," -"," -","31,92","CCredito Nubank","Pago"
"04/04/2022","Oticas Diniz","Cuidados Pessoais","5/10"," -","113","CCredito Nubank","Pago"
"01/04/2022","IOF","Impostos","Mensal"," -","0,79","CCorrente Santander","Pago"
"01/04/2022","IOF","Impostos","Mensal"," -","11,59","CCorrente Santander","Pago"
"18/04/2022","Vivo Fibra","Assinatura","Mensal"," -","56,6","CCorrente Santander","Pago"
"18/04/2022","Viva Fibra","Air BNB","Mensal"," -","56,6","CCorrente Santander","Pago"
"07/04/2022","Escelsa","Air BNB","Mensal"," -","225,76","CCorrente Santander","Pago"
"07/04/2022","Escelsa","Energia","Mensal"," -","185,29","CCorrente Santander","Pago"
"11/04/2022","Air Bnb","Condomínio","Mensal"," -","231,56","CCorrente Santander","Pago"
"11/04/2022","Edf Maison Rio Branco","Air BNB","Mensal"," -","231,56","CCorrente Santander","Pago"
"18/04/2022","Vivo Gabriel","Celular","Mensal"," -","44,9","CCorrente Santander","Pago"
"19/04/2022","Santander","Seguro","12/12"," -","108,3","CCorrente Santander","Pago"
"20/04/2022","Banco Original","Dívidas","04/24"," -","584,86","CCorrente Santander","Pago"
"20/04/2022","Air Bnb","IPTU","Mensal"," -","103,18","CCorrente Santander","Pago"
"18/04/2022","Vivo Pedro","Celular","Mensal"," -","40,69","CCorrente Santander","Pago"
"18/04/2022","Vivo Priscilla","Celular","Mensal"," -","40,69","CCorrente Santander","Pago"
"04/04/2022","Nildete","Clé Concept"," -"," -","77","CCorrente Santander","Pago"
"05/04/2022","CVC Corp","Salário"," -","3439,33"," -","CCorrente Santander","Pago"
"05/04/2022","CVC Corp","Bonus"," -","2901"," -","CCorrente Santander","Pago"
"05/04/2022","Santander	","Dívidas","13/45","","602","CCorrente Santander","Pago"
"05/04/2022","Gugu","Outros"," -"," -","300","CCorrente Santander","Pago"
"04/04/2022","Nildete","Clé Concept"," -"," -","33","CCorrente Santander","Pago"
"07/04/2022","Aparecida","Faxina"," -"," -","148","CCorrente Santander","Pago"
"08/04/2022","Pedro ","Air BNB"," -","700"," -","CCorrente Santander","Pago"
"11/04/2022","I-food","Alimentação"," -"," -","59,4","CCorrente Santander","Pago"
"11/04/2022","Correios","Clé Concept"," -"," -","79,6","CCorrente Santander","Pago"
"12/04/2022","vALCIMAR mOTOBOY","CLé Concept"," -"," -","55","CCorrente Santander","Pago"
"12/04/2022","Correios","Clé Concept"," -"," -","55,55","CCorrente Santander","Pago"
